,선수명,연도,팀명,이닝,삼진,출루율
0,차준섭,1982,MBC,35.1,24.0,0.355
1,하기룡,1982,MBC,191.2,107.0,0.292
2,이길환,1982,MBC,117.1,54.0,0.322
3,유종겸,1982,MBC,113.2,85.0,0.315
4,이광권,1982,MBC,116.0,57.0,0.333
5,정순명,1982,MBC,92.2,47.0,0.3670000000000001
6,박석채,1982,MBC,35.2,18.0,0.35
7,김시철,1982,MBC,5.2,0.0,0.44
8,박철순,1982,OB,224.2,108.0,0.259
9,선우대영,1982,OB,138.0,66.0,0.312
10,강철원,1982,OB,45.1,15.0,0.324
11,박상열,1982,OB,111.0,36.0,0.434
12,김현홍,1982,OB,29.2,10.0,0.389
13,황태환,1982,OB,86.1,42.0,0.34600000000000003
14,계형철,1982,OB,90.1,42.0,0.3670000000000001
15,노상수,1982,롯데,232.1,141.0,0.302
16,천창호,1982,롯데,173.2,92.0,0.325
17,김덕열,1982,롯데,60.1,27.0,0.34600000000000003
18,최옥규,1982,롯데,47.2,31.0,0.416
19,김문희,1982,롯데,91.2,18.0,0.361
20,이윤섭,1982,롯데,8.2,1.0,0.458
21,이진우,1982,롯데,82.0,50.0,0.398
22,방기만,1982,롯데,17.1,3.0,0.455
23,김경남,1982,삼미,3.0,1.0,0.5
24,김재현,1982,삼미,192.1,62.0,0.385
25,오문현,1982,삼미,120.0,22.0,0.363
26,감사용,1982,삼미,133.2,23.0,0.375
27,박경호,1982,삼미,22.2,5.0,0.425
28,김동철,1982,삼미,93.0,20.0,0.419
29,인호봉,1982,삼미,133.0,41.0,0.422
30,한상연,1982,삼미,4.0,2.0,0.34
31,황규봉,1982,삼성,222.1,99.0,0.268
32,송진호,1982,삼성,3.0,2.0,0.35700000000000004
33,성낙수,1982,삼성,125.0,56.0,0.299
34,이선희,1982,삼성,167.0,73.0,0.34
35,권영호,1982,삼성,178.2,72.0,0.28300000000000003
36,박영진,1982,삼성,8.1,3.0,0.488
37,김용남,1982,해태,175.0,85.0,0.314
38,방수원,1982,해태,154.1,63.0,0.335
39,김성한,1982,해태,106.1,49.0,0.321
40,강만식,1982,해태,144.0,87.0,0.365
41,이상윤,1982,해태,102.0,59.0,0.34600000000000003
42,신태중,1982,해태,26.1,7.0,0.45
43,하기룡,1983,MBC,173.2,73.0,0.28300000000000003
44,이길환,1983,MBC,208.1,84.0,0.305
45,유종겸,1983,MBC,139.0,74.0,0.28600000000000003
46,오영일,1983,MBC,173.0,70.0,0.311
47,이광권,1983,MBC,100.1,35.0,0.324
48,이원국,1983,MBC,38.2,6.0,0.374
49,신계석,1983,MBC,2.0,0.0,0.462
50,정순명,1983,MBC,59.2,19.0,0.349
51,박석채,1983,MBC,11.0,4.0,0.4
52,차준섭,1983,MBC,3.1,2.0,0.333
53,박철순,1983,OB,10.1,4.0,0.326
54,박상열,1983,OB,173.1,68.0,0.312
55,계형철,1983,OB,193.1,86.0,0.345
56,황태환,1983,OB,105.1,60.0,0.343
57,장호연,1983,OB,155.1,32.0,0.368
58,선우대영,1983,OB,96.2,38.0,0.328
59,정선두,1983,OB,52.0,10.0,0.324
60,김현홍,1983,OB,43.1,12.0,0.364
61,강철원,1983,OB,62.2,21.0,0.376
62,최동원,1983,롯데,208.2,148.0,0.309
63,배경환,1983,롯데,150.0,63.0,0.312
64,김문희,1983,롯데,155.1,47.0,0.327
65,노상수,1983,롯데,169.2,69.0,0.336
66,천창호,1983,롯데,81.2,38.0,0.317
67,이진우,1983,롯데,85.2,33.0,0.36
68,이윤섭,1983,롯데,19.2,8.0,0.424
69,김덕열,1983,롯데,21.2,9.0,0.396
70,박정후,1983,롯데,5.1,1.0,0.483
71,장명부,1983,삼미,427.1,220.0,0.303
72,김재현,1983,삼미,49.0,11.0,0.318
73,임호균,1983,삼미,234.2,86.0,0.311
74,유종천,1983,삼미,17.0,8.0,0.46
75,인호봉,1983,삼미,38.0,15.0,0.342
76,정성만,1983,삼미,61.2,26.0,0.29600000000000004
77,오문현,1983,삼미,37.2,12.0,0.35700000000000004
78,김상기,1983,삼미,31.1,10.0,0.338
79,감사용,1983,삼미,12.0,0.0,0.904
80,김시진,1983,삼성,229.1,154.0,0.318
81,박동경,1983,삼성,22.1,4.0,0.344
82,권영호,1983,삼성,135.0,50.0,0.31
83,황규봉,1983,삼성,130.0,46.0,0.335
84,양일환,1983,삼성,176.1,64.0,0.319
85,송진호,1983,삼성,24.1,7.0,0.434
86,이선희,1983,삼성,127.0,57.0,0.34700000000000003
87,성낙수,1983,삼성,55.0,22.0,0.349
88,이상윤,1983,해태,229.1,178.0,0.3
89,강만식,1983,해태,94.0,51.0,0.293
90,황기선,1983,해태,66.1,34.0,0.271
91,김용남,1983,해태,181.1,80.0,0.28600000000000003
92,김성한,1983,해태,17.1,8.0,0.271
93,주동식,1983,해태,134.1,56.0,0.304
94,방수원,1983,해태,94.0,32.0,0.373
95,김현재,1983,해태,24.1,6.0,0.424
96,신태중,1983,해태,0.2,0.0,0.857
97,엄평재,1983,해태,11.0,13.0,0.363
98,김봉근,1984,MBC,171.1,60.0,0.281
99,하기룡,1984,MBC,178.2,81.0,0.329
100,유종겸,1984,MBC,183.2,86.0,0.315
101,오영일,1984,MBC,239.2,92.0,0.336
102,이광권,1984,MBC,50.1,14.0,0.376
103,이길환,1984,MBC,50.0,15.0,0.35200000000000004
104,정순명,1984,MBC,22.2,7.0,0.4
105,장호연,1984,OB,102.1,47.0,0.29
106,최일언,1984,OB,167.2,86.0,0.319
107,계형철,1984,OB,174.2,92.0,0.295
108,윤석환,1984,OB,146.0,111.0,0.267
109,황태환,1984,OB,40.0,20.0,0.34
110,박상열,1984,OB,133.0,47.0,0.32
111,김진욱,1984,OB,118.0,44.0,0.349
112,강철원,1984,OB,3.2,0.0,0.389
113,최동원,1984,롯데,284.2,223.0,0.28
114,배경환,1984,롯데,121.2,59.0,0.328
115,조용철,1984,롯데,2.0,2.0,0.455
116,천창호,1984,롯데,47.0,22.0,0.377
117,안창완,1984,롯데,70.0,39.0,0.35200000000000004
118,임호균,1984,롯데,161.2,44.0,0.343
119,김재열,1984,롯데,36.0,14.0,0.355
120,이문한,1984,롯데,50.0,17.0,0.345
121,김문희,1984,롯데,56.1,12.0,0.394
122,이진우,1984,롯데,22.1,17.0,0.333
123,이윤섭,1984,롯데,10.0,1.0,0.378
124,박덕용,1984,롯데,19.0,5.0,0.329
125,장명부,1984,삼미,261.2,145.0,0.313
126,최계훈,1984,삼미,137.1,99.0,0.335
127,감사용,1984,삼미,2.1,0.0,0.333
128,김상기,1984,삼미,22.1,5.0,0.362
129,박정후,1984,삼미,139.0,61.0,0.365
130,김재현,1984,삼미,89.2,43.0,0.34700000000000003
131,김덕열,1984,삼미,2.0,1.0,0.546
132,정성만,1984,삼미,150.0,67.0,0.361
133,오문현,1984,삼미,29.0,7.0,0.35
134,신태중,1984,삼미,48.1,30.0,0.413
135,인호봉,1984,삼미,17.2,4.0,0.395
136,박영진,1984,삼성,1.0,0.0,0.667
137,김일융,1984,삼성,222.0,155.0,0.31
138,성낙수,1984,삼성,15.1,4.0,0.391
139,황규봉,1984,삼성,108.0,48.0,0.318
140,전용권,1984,삼성,26.1,6.0,0.35100000000000003
141,김시진,1984,삼성,215.0,155.0,0.336
142,권영호,1984,삼성,137.1,52.0,0.332
143,송진호,1984,삼성,33.0,15.0,0.384
144,이선희,1984,삼성,51.2,23.0,0.38
145,양일환,1984,삼성,64.0,20.0,0.355
146,진동한,1984,삼성,5.0,0.0,0.28600000000000003
147,권기홍,1984,삼성,8.0,0.0,0.378
148,문희수,1984,해태,12.2,14.0,0.327
149,김용남,1984,해태,132.2,68.0,0.284
150,방수원,1984,해태,66.0,30.0,0.327
151,주동식,1984,해태,83.1,27.0,0.297
152,이상윤,1984,해태,211.2,128.0,0.314
153,조도연,1984,해태,129.1,63.0,0.318
154,황기선,1984,해태,124.1,65.0,0.329
155,강만식,1984,해태,129.2,60.0,0.312
156,김현재,1984,해태,6.2,4.0,0.4
157,김재박,1985,MBC,0.2,0.0,0.0
158,김용수,1985,MBC,21.2,14.0,0.322
159,이선희,1985,MBC,138.0,50.0,0.308
160,김정수,1985,MBC,60.0,25.0,0.35200000000000004
161,정삼흠,1985,MBC,192.2,99.0,0.321
162,오영일,1985,MBC,127.1,42.0,0.344
163,하기룡,1985,MBC,111.0,31.0,0.35200000000000004
164,정순명,1985,MBC,18.0,5.0,0.398
165,유종겸,1985,MBC,135.1,40.0,0.313
166,이길환,1985,MBC,35.1,6.0,0.322
167,김봉근,1985,MBC,113.1,37.0,0.315
168,안언학,1985,MBC,15.0,4.0,0.411
169,이광권,1985,MBC,9.1,1.0,0.317
170,차준섭,1985,MBC,4.1,0.0,2.54
171,강철원,1985,OB,5.1,2.0,0.333
172,정선두,1985,OB,9.2,3.0,0.29
173,박철순,1985,OB,50.1,34.0,0.275
174,최일언,1985,OB,144.2,88.0,0.333
175,황태환,1985,OB,97.0,51.0,0.312
176,김진욱,1985,OB,143.0,58.0,0.335
177,계형철,1985,OB,194.0,85.0,0.304
178,박상열,1985,OB,109.0,25.0,0.344
179,윤석환,1985,OB,110.1,44.0,0.332
180,장호연,1985,OB,128.2,46.0,0.337
181,한오종,1985,OB,0.1,0.0,0.5
182,최동원,1985,롯데,225.0,161.0,0.257
183,양상문,1985,롯데,101.0,59.0,0.34600000000000003
184,조용철,1985,롯데,7.1,2.0,0.486
185,배경환,1985,롯데,98.2,38.0,0.294
186,박동수,1985,롯데,168.0,84.0,0.309
187,이충우,1985,롯데,29.1,13.0,0.361
188,김정행,1985,롯데,115.1,55.0,0.338
189,안창완,1985,롯데,8.2,4.0,0.324
190,임호균,1985,롯데,145.0,44.0,0.353
191,천창호,1985,롯데,23.0,10.0,0.319
192,이진우,1985,롯데,69.0,45.0,0.41
193,김문희,1985,롯데,2.0,1.0,0.4
194,권기홍,1985,삼성,3.0,3.0,0.35700000000000004
195,김시진,1985,삼성,269.2,201.0,0.294
196,송진호,1985,삼성,12.2,5.0,0.441
197,김일융,1985,삼성,226.0,107.0,0.312
198,진동한,1985,삼성,81.2,24.0,0.316
199,황규봉,1985,삼성,165.2,55.0,0.301
200,권영호,1985,삼성,174.2,81.0,0.327
201,성낙수,1985,삼성,4.1,2.0,0.389
202,양일환,1985,삼성,61.2,17.0,0.348
203,김준희,1985,삼성,2.0,1.0,0.5
204,선동열,1985,해태,111.0,103.0,0.232
205,김성한,1985,해태,40.1,12.0,0.325
206,김용남,1985,해태,134.2,74.0,0.321
207,문희수,1985,해태,144.2,64.0,0.341
208,조도연,1985,해태,123.2,46.0,0.331
209,강만식,1985,해태,198.2,63.0,0.305
210,신태순,1985,해태,71.2,25.0,0.35600000000000004
211,황기선,1985,해태,34.2,15.0,0.396
212,방수원,1985,해태,23.1,9.0,0.32299999999999995
213,김기철,1985,해태,7.1,5.0,0.46
214,최상주,1985,해태,31.0,32.0,0.366
215,이상윤,1985,해태,5.0,2.0,0.5
216,김건우,1986,MBC,229.1,102.0,0.275
217,김용수,1986,MBC,178.0,74.0,0.279
218,이길환,1986,MBC,10.0,2.0,0.381
219,예병준,1986,MBC,11.0,4.0,0.442
220,유종겸,1986,MBC,145.2,84.0,0.318
221,이선희,1986,MBC,17.2,12.0,0.3720000000000001
222,하기룡,1986,MBC,100.2,24.0,0.35600000000000004
223,김태원,1986,MBC,107.0,51.0,0.301
224,오영일,1986,MBC,132.0,43.0,0.349
225,정삼흠,1986,MBC,52.2,21.0,0.401
226,기세봉,1986,OB,1.0,0.0,1.0
227,박노준,1986,OB,110.1,61.0,0.299
228,최일언,1986,OB,221.2,101.0,0.28800000000000003
229,박철순,1986,OB,53.1,29.0,0.321
230,장호연,1986,OB,165.2,44.0,0.29
231,황태환,1986,OB,73.1,36.0,0.305
232,박형열,1986,OB,2.2,0.0,0.2
233,김진욱,1986,OB,81.2,41.0,0.361
234,계형철,1986,OB,111.0,47.0,0.329
235,윤석환,1986,OB,63.1,13.0,0.355
236,박상열,1986,OB,64.1,15.0,0.373
237,황기선,1986,OB,24.1,6.0,0.406
238,감사용,1986,OB,3.0,1.0,1.0
239,최동원,1986,롯데,267.0,208.0,0.262
240,박동수,1986,롯데,148.2,68.0,0.297
241,오명록,1986,롯데,71.1,52.0,0.336
242,양상문,1986,롯데,37.1,21.0,0.289
243,윤학길,1986,롯데,88.0,40.0,0.317
244,이진우,1986,롯데,40.0,18.0,0.35700000000000004
245,김정행,1986,롯데,118.0,52.0,0.333
246,임호균,1986,롯데,89.1,27.0,0.374
247,배경환,1986,롯데,58.0,18.0,0.329
248,노상수,1986,롯데,49.1,16.0,0.409
249,이충우,1986,롯데,10.0,2.0,0.417
250,안창완,1986,롯데,6.2,0.0,0.424
251,이상군,1986,빙그레,243.1,104.0,0.28600000000000003
252,성낙수,1986,빙그레,42.1,20.0,0.29
253,한희민,1986,빙그레,175.1,123.0,0.28600000000000003
254,손문곤,1986,빙그레,117.0,37.0,0.344
255,김연철,1986,빙그레,88.0,14.0,0.324
256,김재열,1986,빙그레,89.2,24.0,0.359
257,장명부,1986,빙그레,108.1,48.0,0.375
258,천창호,1986,빙그레,38.2,17.0,0.366
259,임재준,1986,빙그레,27.1,15.0,0.31
260,민문식,1986,빙그레,16.0,5.0,0.343
261,오문현,1986,빙그레,3.0,0.0,0.529
262,조호표,1986,빙그레,2.1,1.0,0.5
263,김준희,1986,삼성,13.2,7.0,0.415
264,박동경,1986,삼성,2.2,2.0,0.417
265,성준,1986,삼성,149.0,60.0,0.298
266,김일융,1986,삼성,138.2,60.0,0.298
267,김훈기,1986,삼성,8.0,2.0,0.343
268,권영호,1986,삼성,146.1,74.0,0.301
269,김시진,1986,삼성,196.2,87.0,0.34600000000000003
270,진동한,1986,삼성,109.1,37.0,0.319
271,양일환,1986,삼성,96.2,33.0,0.333
272,전용권,1986,삼성,28.2,7.0,0.325
273,황규봉,1986,삼성,50.0,10.0,0.335
274,송진호,1986,삼성,13.2,2.0,0.278
275,권기홍,1986,삼성,12.2,7.0,0.397
276,조병천,1986,청보,94.2,48.0,0.338
277,김신부,1986,청보,233.0,90.0,0.317
278,김기태,1986,청보,175.1,109.0,0.334
279,신태중,1986,청보,24.2,7.0,0.411
280,최계훈,1986,청보,159.1,62.0,0.35200000000000004
281,정은배,1986,청보,105.1,41.0,0.37
282,정성만,1986,청보,47.2,20.0,0.42
283,정선두,1986,청보,25.2,3.0,0.35700000000000004
284,천성호,1986,청보,6.1,2.0,0.333
285,김정수,1986,청보,7.1,2.0,0.441
286,이우상,1986,청보,9.1,3.0,0.404
287,김상기,1986,청보,6.1,2.0,0.464
288,강철원,1986,청보,12.0,3.0,0.431
289,김재현,1986,청보,4.1,2.0,0.539
290,선동열,1986,해태,262.2,214.0,0.221
291,김용남,1986,해태,30.2,22.0,0.37
292,방수원,1986,해태,63.0,35.0,0.33
293,차동철,1986,해태,131.0,36.0,0.309
294,문희수,1986,해태,75.0,23.0,0.322
295,신동수,1986,해태,19.0,9.0,0.368
296,김정수,1986,해태,125.2,92.0,0.35100000000000003
297,이상윤,1986,해태,115.0,48.0,0.309
298,김대현,1986,해태,53.2,20.0,0.32299999999999995
299,강만식,1986,해태,72.2,24.0,0.3720000000000001
300,강상진,1986,해태,22.2,9.0,0.35600000000000004
301,신태순,1986,해태,1.1,0.0,0.5
302,김성한,1986,해태,3.0,0.0,0.333
303,최상주,1986,해태,7.1,3.0,0.395
304,김용수,1987,MBC,141.0,71.0,0.27
305,김건우,1987,MBC,163.1,56.0,0.332
306,예병준,1987,MBC,39.2,11.0,0.343
307,김태원,1987,MBC,32.0,16.0,0.419
308,정삼흠,1987,MBC,195.1,85.0,0.319
309,유종겸,1987,MBC,88.1,35.0,0.342
310,이길환,1987,MBC,73.1,20.0,0.362
311,이선희,1987,MBC,38.1,21.0,0.398
312,오영일,1987,MBC,143.1,41.0,0.34700000000000003
313,하기룡,1987,MBC,57.0,17.0,0.339
314,황기선,1987,OB,1.2,2.0,1.8
315,박철순,1987,OB,24.0,12.0,0.277
316,김진욱,1987,OB,150.1,81.0,0.308
317,장호연,1987,OB,188.1,73.0,0.329
318,최일언,1987,OB,154.2,70.0,0.326
319,윤석환,1987,OB,105.0,41.0,0.3670000000000001
320,계형철,1987,OB,148.1,53.0,0.326
321,박상열,1987,OB,58.2,15.0,0.382
322,황태환,1987,OB,65.2,20.0,0.337
323,김경남,1987,OB,5.0,2.0,1.8
324,김강익,1987,OB,37.0,4.0,0.378
325,박노준,1987,OB,16.0,8.0,0.413
326,한오종,1987,OB,5.0,1.0,0.333
327,박형열,1987,OB,1.0,1.0,0.7140000000000001
328,최동원,1987,롯데,224.0,164.0,0.317
329,윤학길,1987,롯데,200.0,84.0,0.321
330,오명록,1987,롯데,76.2,41.0,0.316
331,이충우,1987,롯데,20.2,9.0,0.29600000000000004
332,김정행,1987,롯데,102.0,47.0,0.329
333,박동수,1987,롯데,140.0,71.0,0.345
334,노상수,1987,롯데,66.0,26.0,0.34600000000000003
335,김종석,1987,롯데,42.2,16.0,0.368
336,이문한,1987,롯데,36.0,16.0,0.327
337,정성만,1987,롯데,16.1,4.0,0.403
338,한희민,1987,빙그레,206.0,117.0,0.264
339,이상군,1987,빙그레,246.2,85.0,0.298
340,김용남,1987,빙그레,87.2,37.0,0.35
341,김대중,1987,빙그레,75.2,31.0,0.309
342,김연철,1987,빙그레,74.1,19.0,0.379
343,천창호,1987,빙그레,97.1,26.0,0.343
344,손문곤,1987,빙그레,49.1,22.0,0.36
345,민문식,1987,빙그레,5.2,3.0,0.385
346,김재열,1987,빙그레,39.1,10.0,0.399
347,강만식,1987,빙그레,28.0,5.0,0.342
348,이동석,1987,빙그레,35.1,6.0,0.422
349,임재준,1987,빙그레,8.0,6.0,0.5
350,오문현,1987,빙그레,2.0,0.0,0.5710000000000001
351,이척기,1987,삼성,2.0,1.0,1.0
352,김성길,1987,삼성,31.0,13.0,0.31
353,김시진,1987,삼성,193.1,113.0,0.334
354,양일환,1987,삼성,86.0,35.0,0.312
355,장태수,1987,삼성,63.2,16.0,0.377
356,권영호,1987,삼성,89.2,28.0,0.29600000000000004
357,진동한,1987,삼성,144.0,35.0,0.345
358,김훈기,1987,삼성,80.2,22.0,0.363
359,김기태,1987,삼성,95.0,47.0,0.363
360,성준,1987,삼성,109.0,32.0,0.354
361,박동경,1987,삼성,29.2,10.0,0.383
362,권기홍,1987,삼성,25.2,10.0,0.429
363,김준희,1987,삼성,7.0,0.0,0.5
364,최진영,1987,삼성,2.0,0.0,0.4
365,전용권,1987,삼성,0.1,0.0,9.0
366,정선두,1987,청보,9.2,2.0,0.429
367,이상훈,1987,청보,6.0,5.0,0.448
368,정은배,1987,청보,60.2,27.0,0.402
369,김신부,1987,청보,113.2,33.0,0.364
370,배경환,1987,청보,104.2,30.0,0.334
371,조병천,1987,청보,78.1,38.0,0.326
372,양상문,1987,청보,209.1,84.0,0.306
373,김봉근,1987,청보,135.0,41.0,0.35200000000000004
374,임호균,1987,청보,173.2,38.0,0.368
375,최창호,1987,청보,16.2,7.0,0.405
376,이진우,1987,청보,30.0,17.0,0.387
377,김상기,1987,청보,2.1,0.0,0.5
378,이동수,1987,청보,16.0,7.0,0.425
379,선동열,1987,해태,162.0,144.0,0.236
380,방수원,1987,해태,65.2,29.0,0.343
381,문희수,1987,해태,109.1,37.0,0.28800000000000003
382,차동철,1987,해태,159.2,49.0,0.317
383,김정수,1987,해태,80.1,78.0,0.34
384,이상윤,1987,해태,42.0,14.0,0.361
385,신동수,1987,해태,127.2,67.0,0.324
386,김대현,1987,해태,142.1,51.0,0.311
387,최상주,1987,해태,5.1,0.0,0.483
388,강상진,1987,해태,45.0,13.0,0.41
389,조도연,1987,해태,27.0,9.0,0.428
390,송유석,1987,해태,15.2,4.0,0.406
391,강만식,1987,해태,,0.0,
392,김용수,1988,MBC,98.2,51.0,0.35600000000000004
393,오영일,1988,MBC,176.0,64.0,0.354
394,문병권,1988,MBC,65.1,26.0,0.341
395,이용철,1988,MBC,144.1,46.0,0.336
396,예병준,1988,MBC,50.1,14.0,0.386
397,이길환,1988,MBC,122.1,28.0,0.333
398,유종겸,1988,MBC,109.0,46.0,0.35700000000000004
399,이국성,1988,MBC,55.2,30.0,0.364
400,정삼흠,1988,MBC,139.2,43.0,0.385
401,최일언,1988,OB,115.2,50.0,0.324
402,김진욱,1988,OB,139.1,73.0,0.308
403,윤석환,1988,OB,108.0,54.0,0.316
404,하창우,1988,OB,16.1,2.0,0.377
405,박노준,1988,OB,3.0,1.0,0.412
406,계형철,1988,OB,129.2,48.0,0.338
407,장호연,1988,OB,146.0,47.0,0.348
408,한오종,1988,OB,115.2,60.0,0.34700000000000003
409,이상훈,1988,OB,84.0,30.0,0.326
410,황태환,1988,OB,49.2,11.0,0.365
411,박상열,1988,OB,46.2,12.0,0.379
412,김강익,1988,OB,15.1,3.0,0.32299999999999995
413,최동원,1988,롯데,83.1,83.0,0.298
414,윤학길,1988,롯데,234.0,123.0,0.315
415,박동수,1988,롯데,114.1,59.0,0.34
416,안창완,1988,롯데,62.1,26.0,0.322
417,이문한,1988,롯데,57.0,27.0,0.272
418,노상수,1988,롯데,104.2,41.0,0.317
419,김종석,1988,롯데,55.0,23.0,0.385
420,김정행,1988,롯데,94.0,30.0,0.344
421,오명록,1988,롯데,90.0,43.0,0.333
422,서정용,1988,롯데,47.0,16.0,0.345
423,김응국,1988,롯데,19.2,6.0,0.424
424,구명근,1988,롯데,5.0,1.0,0.483
425,임재준,1988,빙그레,3.2,2.0,0.0
426,이척기,1988,빙그레,2.1,1.0,0.455
427,천창호,1988,빙그레,21.2,18.0,0.231
428,이상군,1988,빙그레,135.0,47.0,0.277
429,이동석,1988,빙그레,76.0,28.0,0.313
430,손문곤,1988,빙그레,54.0,20.0,0.3670000000000001
431,김용남,1988,빙그레,122.2,41.0,0.34600000000000003
432,한희민,1988,빙그레,188.0,103.0,0.326
433,김홍명,1988,빙그레,151.2,61.0,0.369
434,김대중,1988,빙그레,119.0,36.0,0.35700000000000004
435,지성규,1988,빙그레,13.2,4.0,0.373
436,장정순,1988,빙그레,32.1,16.0,0.375
437,안성수,1988,빙그레,2.0,0.0,0.539
438,김연철,1988,빙그레,7.0,2.0,1.57
439,한용덕,1988,빙그레,41.1,16.0,0.366
440,강만식,1988,빙그레,1.1,0.0,0.4
441,최진영,1988,삼성,2.2,1.0,0.5
442,김훈기,1988,삼성,118.0,50.0,0.278
443,김성길,1988,삼성,151.1,62.0,0.308
444,홍성연,1988,삼성,52.2,12.0,0.383
445,진동한,1988,삼성,54.1,10.0,0.374
446,이현택,1988,삼성,9.0,6.0,0.477
447,김시진,1988,삼성,144.1,67.0,0.309
448,권영호,1988,삼성,72.1,24.0,0.343
449,성준,1988,삼성,159.2,59.0,0.324
450,정윤수,1988,삼성,21.2,10.0,0.398
451,정용생,1988,삼성,28.0,7.0,0.438
452,장태수,1988,삼성,37.2,7.0,0.38
453,전용권,1988,삼성,46.0,9.0,0.377
454,박동경,1988,삼성,39.1,8.0,0.434
455,양일환,1988,삼성,29.1,10.0,0.413
456,권기홍,1988,삼성,2.1,0.0,2.14
457,이상구,1988,태평양,87.0,50.0,0.316
458,신완근,1988,태평양,139.0,74.0,0.325
459,조병천,1988,태평양,128.0,40.0,0.335
460,박상범,1988,태평양,33.0,21.0,0.343
461,양상문,1988,태평양,169.1,68.0,0.339
462,김신부,1988,태평양,123.1,38.0,0.331
463,김봉근,1988,태평양,93.2,25.0,0.348
464,이동수,1988,태평양,5.0,1.0,0.391
465,김일부,1988,태평양,72.0,40.0,0.363
466,임호균,1988,태평양,14.0,4.0,0.493
467,최창호,1988,태평양,6.2,3.0,0.35700000000000004
468,배경환,1988,태평양,52.1,18.0,0.34600000000000003
469,박정현,1988,태평양,18.2,8.0,0.417
470,이충우,1988,태평양,3.0,1.0,0.529
471,선동열,1988,해태,178.1,200.0,0.238
472,방수원,1988,해태,80.0,24.0,0.278
473,송유석,1988,해태,15.1,5.0,0.355
474,신동수,1988,해태,81.1,40.0,0.326
475,김정수,1988,해태,54.1,23.0,0.315
476,차동철,1988,해태,146.0,45.0,0.315
477,문희수,1988,해태,110.1,55.0,0.3
478,이상윤,1988,해태,137.0,55.0,0.314
479,김대현,1988,해태,136.2,47.0,0.329
480,조도연,1988,해태,9.2,2.0,0.439
481,최상주,1988,해태,18.0,6.0,0.317
482,강상진,1988,해태,1.0,0.0,0.778
483,김용수,1989,MBC,104.1,51.0,0.329
484,김태원,1989,MBC,98.2,68.0,0.326
485,문병권,1989,MBC,52.0,17.0,0.35200000000000004
486,이재홍,1989,MBC,27.0,12.0,0.26
487,한명수,1989,MBC,16.0,1.0,0.276
488,이국성,1989,MBC,121.2,71.0,0.366
489,김건우,1989,MBC,38.1,13.0,0.329
490,오영일,1989,MBC,43.0,16.0,0.401
491,김덕근,1989,MBC,43.1,28.0,0.387
492,이길환,1989,MBC,43.2,10.0,0.365
493,유종겸,1989,MBC,102.0,38.0,0.354
494,김기범,1989,MBC,103.2,42.0,0.34600000000000003
495,정삼흠,1989,MBC,100.2,37.0,0.334
496,이용철,1989,MBC,120.2,35.0,0.374
497,최준호,1989,MBC,9.1,3.0,0.391
498,하기룡,1989,MBC,4.2,1.0,0.391
499,예병준,1989,MBC,40.2,10.0,0.418
500,김강익,1989,OB,5.2,3.0,0.28600000000000003
501,김진욱,1989,OB,158.1,95.0,0.316
502,박철순,1989,OB,16.1,14.0,0.366
503,김동현,1989,OB,72.2,32.0,0.337
504,구동우,1989,OB,105.1,46.0,0.303
505,황태환,1989,OB,1.0,1.0,0.5
506,계형철,1989,OB,87.2,38.0,0.337
507,장호연,1989,OB,171.0,73.0,0.322
508,이진,1989,OB,97.0,82.0,0.378
509,김진규,1989,OB,87.2,60.0,0.35700000000000004
510,최일언,1989,OB,136.1,62.0,0.369
511,하창우,1989,OB,3.0,2.0,0.385
512,김형균,1989,OB,43.0,14.0,0.332
513,조진구,1989,OB,18.2,6.0,0.365
514,윤석환,1989,OB,54.0,12.0,0.384
515,강규성,1989,OB,7.0,2.0,0.375
516,홍길남,1989,OB,4.1,2.0,0.235
517,한오종,1989,OB,3.1,2.0,0.546
518,김청수,1989,롯데,210.1,114.0,0.295
519,윤학길,1989,롯데,250.0,142.0,0.295
520,구명근,1989,롯데,25.1,17.0,0.368
521,윤동배,1989,롯데,8.1,5.0,0.233
522,서호진,1989,롯데,117.2,45.0,0.342
523,서정용,1989,롯데,87.2,28.0,0.312
524,노상수,1989,롯데,37.0,12.0,0.419
525,김시진,1989,롯데,111.2,55.0,0.363
526,이상번,1989,롯데,71.0,27.0,0.375
527,박동수,1989,롯데,69.1,33.0,0.368
528,전용권,1989,롯데,12.2,1.0,0.443
529,안창완,1989,롯데,37.2,21.0,0.44
530,장태수,1989,롯데,32.2,10.0,0.411
531,김응국,1989,롯데,2.2,0.0,0.417
532,정종헌,1989,롯데,2.0,0.0,0.455
533,장정순,1989,빙그레,51.1,36.0,0.317
534,이척기,1989,빙그레,4.0,1.0,0.375
535,손창현,1989,빙그레,2.2,1.0,0.429
536,이상군,1989,빙그레,140.1,74.0,0.308
537,지성규,1989,빙그레,9.1,1.0,0.333
538,한용덕,1989,빙그레,67.0,47.0,0.333
539,송진우,1989,빙그레,156.2,97.0,0.325
540,김홍명,1989,빙그레,125.2,78.0,0.34700000000000003
541,김대중,1989,빙그레,93.1,41.0,0.333
542,한희민,1989,빙그레,176.2,74.0,0.275
543,김락기,1989,빙그레,108.0,39.0,0.312
544,이동석,1989,빙그레,69.0,23.0,0.381
545,진정필,1989,빙그레,59.0,24.0,0.345
546,유해덕,1989,빙그레,3.1,0.0,0.474
547,이은승,1989,빙그레,0.2,1.0,0.7140000000000001
