,선수명,연도,팀명,포지션,안타,2타,3타,홈런,볼넷,출루율
0,백인천,1982,MBC,DH,103,23,1,19,42,0.4970000000000001
1,이종도,1982,MBC,LF,93,15,1,11,32,0.395
2,이광은,1982,MBC,3B,76,16,3,5,12,0.35600000000000004
3,김용달,1982,MBC,3B,53,10,0,5,19,0.381
4,김인식,1982,MBC,2B,80,9,0,3,17,0.33399999999999996
5,유승안,1982,MBC,C,36,5,0,9,21,0.34299999999999997
6,신언호,1982,MBC,CF,55,14,1,3,22,0.314
7,김바위,1982,MBC,1B,32,4,0,4,19,0.402
8,김용운,1982,MBC,C,53,6,2,3,18,0.301
9,송영운,1982,MBC,RF,69,11,1,1,27,0.32899999999999996
10,최정기,1982,MBC,C,8,3,0,1,2,0.35700000000000004
11,김봉기,1982,MBC,LF,12,1,0,0,1,0.447
12,정영기,1982,MBC,SS,56,5,1,1,21,0.287
13,조호,1982,MBC,1B,11,2,0,0,6,0.349
14,배수희,1982,MBC,,5,0,1,0,1,0.25
15,최정우,1982,MBC,CF,12,0,0,0,7,0.302
16,박재천,1982,MBC,,3,0,1,0,1,0.182
17,김재박,1982,MBC,SS,0,0,0,0,0,0.0
18,윤동균,1982,OB,LF,97,20,5,8,45,0.428
19,김우열,1982,OB,CF,65,8,0,13,38,0.428
20,구천서,1982,OB,2B,82,11,5,3,35,0.405
21,신경식,1982,OB,1B,98,21,3,4,20,0.379
22,양세종,1982,OB,3B,81,13,1,7,27,0.32899999999999996
23,유지훤,1982,OB,SS,69,14,2,4,15,0.295
24,조범현,1982,OB,C,32,7,2,2,6,0.307
25,이홍범,1982,OB,CF,36,7,1,3,16,0.318
26,정혁진,1982,OB,RF,44,7,1,3,5,0.32899999999999996
27,김광수,1982,OB,SS,28,2,0,1,11,0.359
28,정종현,1982,OB,C,19,5,1,2,6,0.298
29,이근식,1982,OB,RF,57,9,1,1,11,0.322
30,박종호,1982,OB,,2,0,0,0,1,0.6
31,구재서,1982,OB,,1,0,0,0,0,0.33299999999999996
32,김진홍,1982,OB,C,1,0,0,0,0,0.2
33,김유동,1982,OB,DH,38,8,1,6,3,0.27
34,이근식,1982,OB,RF,5,1,0,0,1,0.214
35,김경문,1982,OB,C,23,4,0,0,7,0.266
36,김용철,1982,롯데,3B,76,13,0,10,41,0.40299999999999997
37,정학수,1982,롯데,SS,76,18,1,2,53,0.396
38,김정수,1982,롯데,1B,76,15,2,11,49,0.381
39,김용희,1982,롯데,3B,66,7,0,11,25,0.35700000000000004
40,김성관,1982,롯데,LF,75,15,1,7,18,0.336
41,박용성,1982,롯데,RF,49,6,1,11,17,0.35700000000000004
42,차동열,1982,롯데,C,52,8,0,2,19,0.319
43,김재상,1982,롯데,CF,14,1,1,0,5,0.345
44,최순하,1982,롯데,C,17,0,0,0,10,0.301
45,정문섭,1982,롯데,RF,23,3,0,4,14,0.28600000000000003
46,엄태섭,1982,롯데,CF,19,3,0,0,4,0.23199999999999998
47,김일환,1982,롯데,1B,44,5,1,0,21,0.325
48,이성득,1982,롯데,2B,22,1,0,0,12,0.264
49,권두조,1982,롯데,DH,59,15,1,0,36,0.32899999999999996
50,금광옥,1982,삼미,C,71,12,3,9,39,0.364
51,조흥운,1982,삼미,SS,85,16,4,4,24,0.33799999999999997
52,김호인,1982,삼미,CF,60,16,0,6,17,0.332
53,김경남,1982,삼미,2B,80,15,5,3,13,0.298
54,양승관,1982,삼미,RF,65,6,1,8,20,0.327
55,장정기,1982,삼미,1B,55,12,1,3,32,0.337
56,이철성,1982,삼미,RF,38,7,1,0,15,0.33299999999999996
57,송경섭,1982,삼미,3B,30,9,1,2,12,0.275
58,최영환,1982,삼미,C,17,2,2,2,7,0.23399999999999999
59,이춘근,1982,삼미,,0,0,0,0,0,0.0
60,박준영,1982,삼미,LF,9,2,0,0,4,0.289
61,이경수,1982,삼미,CF,11,3,1,0,2,0.226
62,문주모,1982,삼미,CF,1,0,0,0,1,0.133
63,김진철,1982,삼미,C,6,1,1,0,3,0.2
64,김구길,1982,삼미,3B,13,1,0,0,3,0.235
65,김무관,1982,삼미,1B,55,11,0,1,24,0.301
66,허운,1982,삼미,DH,38,4,0,2,4,0.251
67,이찬선,1982,삼미,,3,0,0,0,1,0.086
68,이만수,1982,삼성,C,78,16,1,13,46,0.39899999999999997
69,장태수,1982,삼성,RF,72,15,3,3,42,0.45399999999999996
70,오대석,1982,삼성,SS,73,15,1,4,37,0.374
71,허규옥,1982,삼성,LF,60,11,2,3,32,0.389
72,김한근,1982,삼성,3B,51,13,1,5,24,0.34700000000000003
73,박정환,1982,삼성,2B,36,6,1,5,9,0.368
74,정현발,1982,삼성,DH,42,9,1,5,28,0.40299999999999997
75,함학수,1982,삼성,1B,68,14,2,7,22,0.321
76,배대웅,1982,삼성,SS,54,9,0,5,25,0.304
77,손상득,1982,삼성,C,34,3,2,2,7,0.276
78,정구왕,1982,삼성,CF,41,1,2,0,6,0.325
79,천보성,1982,삼성,2B,24,6,0,0,10,0.34299999999999997
80,박찬,1982,삼성,LF,22,4,0,1,8,0.35700000000000004
81,손상대,1982,삼성,C,4,0,0,0,1,0.28600000000000003
82,서정환,1982,삼성,3B,25,1,1,2,5,0.237
83,김휘욱,1982,삼성,,10,1,1,1,1,0.16699999999999998
84,김봉연,1982,해태,DH,89,14,1,22,28,0.405
85,김일권,1982,해태,CF,76,12,1,11,42,0.368
86,김준환,1982,해태,RF,92,13,3,19,19,0.34700000000000003
87,김성한,1982,해태,1B,97,17,4,13,9,0.335
88,차영화,1982,해태,SS,73,9,1,1,31,0.337
89,김종모,1982,해태,LF,75,12,0,10,17,0.33299999999999996
90,김종윤,1982,해태,RF,41,8,2,1,19,0.32799999999999996
91,조충열,1982,해태,SS,62,8,0,2,20,0.29600000000000004
92,임정면,1982,해태,3B,16,4,1,1,12,0.337
93,박전섭,1982,해태,C,23,4,1,0,7,0.272
94,김우근,1982,해태,CF,27,5,0,4,13,0.275
95,홍순만,1982,해태,C,1,0,0,0,2,0.2
96,최영조,1982,해태,2B,5,0,0,0,5,0.27
97,김경훈,1982,해태,C,3,1,0,0,5,0.2
98,김용만,1982,해태,C,15,3,0,0,6,0.20199999999999999
99,김재박,1983,MBC,SS,108,22,2,5,42,0.373
100,이해창,1983,MBC,CF,114,21,4,8,41,0.3670000000000001
101,이종도,1983,MBC,LF,101,25,2,8,35,0.37
102,이광은,1983,MBC,3B,89,12,4,8,24,0.332
103,김인식,1983,MBC,3B,100,16,2,1,11,0.307
104,신언호,1983,MBC,RF,69,15,2,5,11,0.29600000000000004
105,유승안,1983,MBC,C,33,3,0,1,17,0.317
106,김정수,1983,MBC,1B,67,12,2,5,33,0.317
107,유성룡,1983,MBC,3B,13,0,0,0,1,0.33299999999999996
108,조호,1983,MBC,2B,3,0,0,0,1,0.444
109,박철영,1983,MBC,C,4,0,0,0,0,0.33299999999999996
110,김봉기,1983,MBC,CF,3,0,1,0,3,0.304
111,정영기,1983,MBC,SS,0,0,0,0,0,
112,송영운,1983,MBC,DH,32,5,1,0,18,0.33799999999999997
113,김용달,1983,MBC,3B,18,2,0,1,6,0.278
114,최정기,1983,MBC,C,1,0,0,0,0,0.14300000000000002
115,이성수,1983,MBC,,1,0,0,0,0,0.083
116,최정우,1983,MBC,CF,12,2,1,0,5,0.22399999999999998
117,차동열,1983,MBC,C,16,2,0,0,6,0.23800000000000002
118,김문영,1983,MBC,,3,0,0,0,0,0.13
119,김용운,1983,MBC,C,33,5,0,2,7,0.23399999999999999
120,김바위,1983,MBC,1B,17,3,0,1,20,0.306
121,박종훈,1983,OB,SS,117,19,6,3,38,0.377
122,김우열,1983,OB,RF,97,21,5,9,39,0.373
123,윤동균,1983,OB,LF,97,19,1,10,53,0.37
124,한대화,1983,OB,3B,85,17,5,5,16,0.31
125,구천서,1983,OB,2B,61,8,4,4,21,0.36
126,신경식,1983,OB,1B,101,15,1,5,31,0.335
127,정종현,1983,OB,C,23,2,0,6,10,0.321
128,양세종,1983,OB,1B,40,6,0,4,6,0.314
129,김경문,1983,OB,C,24,4,1,2,8,0.27699999999999997
130,김유동,1983,OB,CF,28,3,0,1,6,0.297
131,이홍범,1983,OB,DH,48,6,0,0,7,0.341
132,김광수,1983,OB,3B,52,8,2,1,14,0.275
133,김진홍,1983,OB,C,4,0,0,0,1,0.217
134,구재서,1983,OB,,0,0,0,0,1,0.111
135,조범현,1983,OB,C,12,3,0,0,7,0.25
136,유지훤,1983,OB,SS,53,8,1,0,11,0.256
137,이근식,1983,OB,LF,13,2,0,0,8,0.25
138,정혁진,1983,OB,,8,1,0,0,2,0.151
139,김용철,1983,롯데,3B,92,21,2,14,38,0.354
140,박용성,1983,롯데,RF,100,19,1,17,33,0.359
141,김용희,1983,롯데,3B,82,8,1,18,26,0.335
142,정학수,1983,롯데,SS,98,15,2,3,42,0.35600000000000004
143,유두열,1983,롯데,DH,90,18,0,9,37,0.39399999999999996
144,김재상,1983,롯데,CF,56,9,2,2,23,0.319
145,심재원,1983,롯데,C,41,4,0,3,12,0.28600000000000003
146,김정수,1983,롯데,1B,37,7,2,4,24,0.33
147,김석일,1983,롯데,,18,2,0,2,12,0.337
148,한문연,1983,롯데,C,27,3,0,1,12,0.292
149,김성관,1983,롯데,LF,45,10,4,1,16,0.285
150,차동열,1983,롯데,C,0,0,0,0,0,
151,김성호,1983,롯데,,21,1,1,0,5,0.265
152,김종근,1983,롯데,,2,0,0,0,0,0.2
153,김호근,1983,롯데,C,14,3,0,0,2,0.222
154,정문섭,1983,롯데,RF,1,0,0,0,1,0.14300000000000002
155,우경하,1983,롯데,RF,18,2,0,3,5,0.223
156,정영기,1983,롯데,SS,18,6,0,1,4,0.183
157,박영태,1983,롯데,RF,17,0,1,0,6,0.19399999999999998
158,권두조,1983,롯데,2B,30,5,2,0,10,0.209
159,김진우,1983,삼미,C,92,10,1,15,51,0.354
160,양승관,1983,삼미,RF,84,15,2,9,24,0.365
161,정구선,1983,삼미,2B,91,11,0,15,35,0.32799999999999996
162,이영구,1983,삼미,2B,102,21,2,5,30,0.336
163,김대진,1983,삼미,LF,86,11,1,2,30,0.354
164,조흥운,1983,삼미,SS,60,9,4,0,16,0.284
165,최홍석,1983,삼미,,41,5,0,3,9,0.307
166,금광옥,1983,삼미,C,43,1,1,2,17,0.28600000000000003
167,박준영,1983,삼미,CF,36,6,0,3,20,0.304
168,이광길,1983,삼미,CF,6,1,0,0,7,0.483
169,장정기,1983,삼미,1B,11,4,0,1,6,0.33299999999999996
170,허운,1983,삼미,2B,4,0,0,0,1,0.35700000000000004
171,이철성,1983,삼미,2B,3,0,0,0,1,0.364
172,백인천,1983,삼미,DH,23,6,1,1,11,0.261
173,김우근,1983,삼미,,0,0,0,0,0,
174,이선웅,1983,삼미,3B,64,7,1,5,12,0.258
175,김경남,1983,삼미,SS,31,5,1,0,5,0.252
176,최영환,1983,삼미,C,1,0,0,0,0,0.111
177,엄태섭,1983,삼미,,0,0,0,0,0,0.0
178,김무관,1983,삼미,,7,1,0,0,2,0.20800000000000002
179,정구왕,1983,삼미,LF,29,0,0,1,5,0.21600000000000005
180,장효조,1983,삼성,LF,117,19,3,18,58,0.469
181,이만수,1983,삼성,C,105,12,0,27,41,0.37799999999999995
182,배대웅,1983,삼성,3B,65,10,2,2,24,0.353
183,함학수,1983,삼성,SS,77,10,2,5,12,0.294
184,김근석,1983,삼성,2B,77,12,0,4,15,0.336
185,천보성,1983,삼성,2B,43,8,1,6,16,0.313
186,김한근,1983,삼성,1B,63,11,1,4,16,0.337
187,박찬,1983,삼성,RF,38,10,0,1,14,0.363
188,정현발,1983,삼성,3B,59,11,0,6,23,0.292
189,박승호,1983,삼성,DH,57,9,0,7,26,0.332
190,황병일,1983,삼성,,16,6,2,0,3,0.27899999999999997
191,홍승규,1983,삼성,LF,24,4,0,0,8,0.33299999999999996
192,정진호,1983,삼성,CF,14,3,0,1,8,0.316
193,장태수,1983,삼성,CF,51,4,1,4,22,0.278
194,손상득,1983,삼성,C,5,0,1,0,1,0.3
195,손상대,1983,삼성,C,1,1,0,0,2,0.3
196,박정환,1983,삼성,C,3,0,0,0,0,0.25
197,우용득,1983,삼성,C,2,0,0,0,2,0.2
198,김동재,1983,삼성,2B,1,0,0,0,0,0.133
199,허규옥,1983,삼성,RF,25,5,0,1,4,0.25
200,오대석,1983,삼성,1B,46,8,1,4,19,0.266
201,김종모,1983,해태,RF,109,17,2,11,26,0.40399999999999997
202,김성한,1983,해태,1B,111,20,0,7,38,0.401
203,김봉연,1983,해태,DH,80,10,1,22,42,0.371
204,김일권,1983,해태,CF,103,13,1,6,35,0.345
205,김무종,1983,해태,C,81,19,2,12,20,0.313
206,서정환,1983,해태,2B,82,11,3,3,27,0.32
207,김준환,1983,해태,LF,81,5,1,10,27,0.308
208,차영화,1983,해태,SS,61,6,2,1,13,0.308
209,김종윤,1983,해태,LF,43,8,2,2,20,0.34
210,장진범,1983,해태,3B,20,3,0,0,2,0.319
211,송일섭,1983,해태,RF,21,6,1,2,17,0.31
212,양승호,1983,해태,2B,26,2,0,2,7,0.292
213,박전섭,1983,해태,C,2,0,0,0,0,0.2
214,임정면,1983,해태,1B,26,1,0,0,5,0.314
215,조종규,1983,해태,C,1,0,0,0,0,0.071
216,김우근,1983,해태,,12,0,0,0,2,0.212
217,조충열,1983,해태,,15,3,0,0,3,0.20199999999999999
218,김일환,1983,해태,1B,18,6,0,0,10,0.259
219,김재박,1984,MBC,SS,103,11,5,7,36,0.37
220,이광은,1984,MBC,3B,109,19,3,18,28,0.33899999999999997
221,이해창,1984,MBC,CF,102,16,6,7,45,0.35200000000000004
222,김용달,1984,MBC,3B,28,5,4,1,15,0.395
223,김경표,1984,MBC,1B,30,4,3,3,10,0.381
224,김상훈,1984,MBC,1B,75,15,3,0,27,0.33399999999999996
225,김바위,1984,MBC,2B,22,4,1,1,14,0.34299999999999997
226,송영운,1984,MBC,CF,28,4,0,0,9,0.34299999999999997
227,김인식,1984,MBC,DH,100,13,8,3,22,0.311
228,신언호,1984,MBC,RF,80,12,0,2,28,0.31
229,김봉기,1984,MBC,CF,2,0,0,0,1,0.429
230,김영균,1984,MBC,,4,0,0,1,3,0.28
231,이성수,1984,MBC,,0,0,0,0,0,0.0
232,차동열,1984,MBC,C,25,3,0,0,10,0.275
233,박철영,1984,MBC,C,3,2,0,0,2,0.2
234,김정수,1984,MBC,1B,15,3,1,1,17,0.299
235,이종도,1984,MBC,LF,26,7,0,3,21,0.292
236,김용운,1984,MBC,C,42,2,0,0,3,0.261
237,김문영,1984,MBC,,10,3,0,0,8,0.254
238,유성룡,1984,MBC,3B,3,1,0,0,0,0.174
239,최정우,1984,MBC,CF,0,0,0,0,1,0.067
240,유제룡,1984,MBC,,33,3,1,0,14,0.264
241,윤동균,1984,OB,LF,100,14,4,10,60,0.389
242,박종훈,1984,OB,SS,83,11,2,7,26,0.374
243,김우열,1984,OB,RF,87,11,1,12,47,0.373
244,양세종,1984,OB,1B,90,16,4,6,28,0.36200000000000004
245,김광수,1984,OB,2B,86,18,2,2,27,0.33299999999999996
246,한대화,1984,OB,3B,45,8,1,1,23,0.33899999999999997
247,홍신차,1984,OB,,36,6,0,1,10,0.34600000000000003
248,김경문,1984,OB,C,23,6,0,0,8,0.305
249,김광림,1984,OB,CF,37,7,1,2,12,0.29600000000000004
250,정종현,1984,OB,C,8,0,1,2,1,0.256
251,박해종,1984,OB,C,13,3,0,0,6,0.308
252,조범현,1984,OB,C,34,7,2,3,14,0.253
253,홍희섭,1984,OB,,5,1,0,0,0,0.455
254,신경식,1984,OB,1B,21,5,0,1,13,0.324
255,이홍범,1984,OB,CF,32,6,0,1,11,0.27699999999999997
256,조종규,1984,OB,C,2,0,0,1,5,0.29600000000000004
257,배원영,1984,OB,C,0,0,0,0,1,0.5
258,김성호,1984,OB,C,0,0,0,0,0,0.0
259,사인상,1984,OB,,0,0,0,0,0,0.0
260,김대진,1984,OB,,0,0,0,0,0,
261,이삼열,1984,OB,,0,0,0,0,0,0.0
262,유지훤,1984,OB,SS,27,1,0,3,4,0.24600000000000002
263,구재서,1984,OB,,1,1,0,0,1,0.3
264,이근식,1984,OB,RF,28,3,0,0,8,0.28800000000000003
265,구천서,1984,OB,DH,55,9,0,1,31,0.324
266,김명구,1984,OB,,3,0,0,0,3,0.222
267,홍문종,1984,롯데,CF,122,25,7,11,43,0.41600000000000004
268,김용철,1984,롯데,1B,113,24,2,21,39,0.39799999999999996
269,한문연,1984,롯데,C,41,7,0,4,19,0.375
270,김용희,1984,롯데,3B,76,13,2,9,17,0.284
271,유두열,1984,롯데,RF,67,8,3,11,26,0.306
272,김한조,1984,롯데,,17,4,1,2,16,0.374
273,심재원,1984,롯데,C,47,10,1,0,11,0.29100000000000004
274,김석일,1984,롯데,C,28,3,1,1,14,0.326
275,김민호,1984,롯데,SS,29,9,0,0,12,0.32799999999999996
276,김재상,1984,롯데,LF,34,6,0,0,20,0.331
277,조성옥,1984,롯데,CF,46,5,1,1,29,0.325
278,정영기,1984,롯데,1B,87,9,1,1,20,0.32
279,박용성,1984,롯데,DH,35,2,0,7,17,0.305
280,김진근,1984,롯데,,5,0,0,0,1,0.292
281,김성관,1984,롯데,CF,4,0,0,0,0,0.263
282,박영태,1984,롯데,RF,39,6,0,0,12,0.304
283,이석규,1984,롯데,2B,9,2,0,1,8,0.262
284,이광길,1984,롯데,LF,32,3,1,1,20,0.293
285,정인교,1984,롯데,C,1,0,0,0,0,0.067
286,김성호,1984,롯데,,7,2,0,1,2,0.177
287,정구선,1984,삼미,2B,103,14,1,12,62,0.40299999999999997
288,이영구,1984,삼미,2B,97,23,0,5,40,0.33299999999999996
289,김진우,1984,삼미,C,55,8,0,9,35,0.325
290,김우근,1984,삼미,CF,60,6,3,2,24,0.337
291,권두조,1984,삼미,2B,97,10,2,1,36,0.337
292,양승관,1984,삼미,RF,39,13,1,2,9,0.33799999999999997
293,김정수,1984,삼미,1B,61,14,2,4,44,0.33899999999999997
294,백인천,1984,삼미,DH,9,2,0,3,3,0.34299999999999997
295,김유동,1984,삼미,3B,19,4,0,3,1,0.244
296,이선웅,1984,삼미,SS,7,0,0,1,2,0.33299999999999996
297,조흥운,1984,삼미,SS,26,6,0,1,9,0.265
298,금광옥,1984,삼미,C,34,9,0,6,7,0.212
299,허운,1984,삼미,,2,0,0,0,2,0.33299999999999996
300,최영환,1984,삼미,C,10,2,0,1,1,0.22
301,최홍석,1984,삼미,,15,1,0,1,7,0.275
302,엄태섭,1984,삼미,,0,0,0,0,0,0.0
303,장정기,1984,삼미,,0,0,0,0,0,0.16699999999999998
304,김호근,1984,삼미,C,18,2,0,1,4,0.242
305,정구왕,1984,삼미,LF,27,3,1,0,10,0.289
306,박준영,1984,삼미,LF,30,6,0,0,14,0.292
307,김무관,1984,삼미,,0,0,0,0,0,0.0
308,김경남,1984,삼미,,26,3,2,0,9,0.254
309,김대진,1984,삼미,,11,0,1,0,9,0.263
310,우경하,1984,삼미,1B,42,8,1,6,4,0.249
311,이만수,1984,삼성,C,102,17,1,23,26,0.409
312,장효조,1984,삼성,LF,100,19,7,7,49,0.42200000000000004
313,함학수,1984,삼성,SS,88,12,0,9,17,0.316
314,장태수,1984,삼성,CF,55,13,2,2,27,0.38
315,오대석,1984,삼성,2B,66,10,2,7,19,0.35600000000000004
316,정현발,1984,삼성,3B,37,6,0,10,18,0.368
317,박승호,1984,삼성,DH,61,11,1,3,35,0.401
318,김근석,1984,삼성,1B,84,13,0,5,17,0.348
319,송일수,1984,삼성,C,38,3,2,2,4,0.315
320,홍승규,1984,삼성,RF,43,9,1,3,25,0.327
321,정진호,1984,삼성,CF,30,4,0,0,6,0.327
322,천보성,1984,삼성,2B,39,8,0,2,21,0.299
323,배대웅,1984,삼성,3B,25,2,0,0,9,0.313
324,정성룡,1984,삼성,,9,0,0,0,3,0.33299999999999996
325,김이수,1984,삼성,,23,5,1,2,8,0.252
326,김성래,1984,삼성,2B,11,2,0,1,8,0.29
327,손상대,1984,삼성,C,1,0,0,0,0,0.33299999999999996
328,박정환,1984,삼성,C,3,0,0,0,0,0.2
329,김한근,1984,삼성,3B,26,8,0,0,9,0.27699999999999997
330,황병일,1984,삼성,,7,1,0,2,6,0.254
331,김동재,1984,삼성,2B,2,0,0,0,2,0.256
332,박찬,1984,삼성,,6,0,0,0,1,0.21100000000000002
333,허규옥,1984,삼성,RF,33,4,1,0,3,0.248
334,김종모,1984,해태,RF,86,12,1,14,35,0.39
335,김봉연,1984,해태,DH,85,18,0,17,50,0.349
336,김성한,1984,해태,1B,94,16,2,12,39,0.33399999999999996
337,유승안,1984,해태,C,31,9,0,5,23,0.385
338,김무종,1984,해태,C,53,14,1,7,22,0.315
339,김일환,1984,해태,2B,88,15,2,0,30,0.341
340,김준환,1984,해태,CF,82,10,0,6,20,0.314
341,서정환,1984,해태,2B,81,11,0,5,30,0.318
342,김일권,1984,해태,CF,59,9,0,2,22,0.309
343,송일섭,1984,해태,LF,47,5,0,6,10,0.28
344,양승호,1984,해태,,13,4,1,1,3,0.25
345,차영화,1984,해태,SS,33,3,1,0,15,0.27399999999999997
346,박전섭,1984,해태,C,7,1,0,0,0,0.235
347,임정면,1984,해태,,1,1,0,0,0,0.125
348,장진범,1984,해태,3B,19,4,0,0,3,0.256
349,김종윤,1984,해태,RF,21,5,2,1,4,0.23600000000000002
350,조충열,1984,해태,,17,3,0,0,5,0.22
351,강정남,1984,해태,1B,5,3,0,0,2,0.151
352,김재박,1985,MBC,SS,118,15,3,3,39,0.382
353,김상훈,1985,MBC,1B,108,23,4,5,29,0.35200000000000004
354,김인식,1985,MBC,2B,111,14,0,2,30,0.336
355,이광은,1985,MBC,LF,91,11,3,6,24,0.332
356,송영운,1985,MBC,CF,55,6,1,0,28,0.3670000000000001
357,박흥식,1985,MBC,LF,50,8,5,0,25,0.34700000000000003
358,차동열,1985,MBC,C,33,2,0,4,14,0.28300000000000003
359,심재원,1985,MBC,C,39,3,0,3,17,0.27399999999999997
360,김용달,1985,MBC,DH,33,9,0,3,21,0.327
361,박철영,1985,MBC,C,4,2,0,0,3,0.292
362,김정수,1985,MBC,3B,20,3,2,1,7,0.28
363,이광권,1985,MBC,1B,0,0,0,0,0,0.0
364,유고웅,1985,MBC,2B,44,6,0,4,28,0.28
365,유성룡,1985,MBC,3B,0,0,0,0,0,0.0
366,김봉기,1985,MBC,CF,1,0,0,0,0,0.111
367,김문영,1985,MBC,,21,3,0,1,3,0.247
368,윤덕규,1985,MBC,LF,8,0,1,1,1,0.188
369,안언학,1985,MBC,RF,17,2,0,1,10,0.27399999999999997
370,최홍석,1985,MBC,,11,3,0,2,5,0.205
371,김영균,1985,MBC,,8,1,0,0,7,0.254
372,김경표,1985,MBC,1B,8,1,0,0,7,0.24600000000000002
373,유지홍,1985,MBC,1B,28,4,0,0,10,0.278
374,신언호,1985,MBC,RF,84,11,0,1,16,0.262
375,박종훈,1985,OB,DH,119,19,4,6,29,0.39399999999999996
376,윤동균,1985,OB,LF,83,12,6,8,44,0.38299999999999995
377,신경식,1985,OB,1B,113,23,4,8,40,0.35100000000000003
378,김광수,1985,OB,SS,98,17,0,9,44,0.33899999999999997
379,김형석,1985,OB,RF,68,14,5,7,18,0.364
380,이종도,1985,OB,CF,76,14,3,4,30,0.344
381,구천서,1985,OB,2B,62,9,0,2,42,0.354
382,김우열,1985,OB,CF,37,4,0,7,23,0.341
383,조범현,1985,OB,C,57,8,0,3,13,0.281
384,김광림,1985,OB,CF,51,4,0,1,7,0.33299999999999996
385,홍신차,1985,OB,,16,1,0,3,6,0.33299999999999996
386,김진홍,1985,OB,C,2,0,0,0,0,0.667
387,정종현,1985,OB,C,7,0,0,1,2,0.282
388,한대화,1985,OB,3B,12,1,0,2,1,0.24100000000000002
389,홍희섭,1985,OB,,1,0,0,0,0,0.5
390,김경문,1985,OB,C,15,3,0,0,10,0.301
391,구재서,1985,OB,LF,2,0,0,0,0,0.222
392,이홍범,1985,OB,CF,24,3,1,2,6,0.27
393,탁재원,1985,OB,,4,1,0,0,1,0.33299999999999996
394,유지훤,1985,OB,SS,67,9,4,3,21,0.262
395,조호,1985,OB,,1,0,0,0,0,0.16699999999999998
396,김명구,1985,OB,,1,0,0,0,1,0.222
397,김영신,1985,OB,C,4,0,0,0,1,0.22699999999999998
398,박기수,1985,OB,,0,0,0,0,0,0.0
399,박해종,1985,OB,C,5,0,0,0,2,0.233
400,이근식,1985,OB,,12,2,0,0,6,0.27899999999999997
401,김대진,1985,OB,RF,14,1,0,1,2,0.26
402,이승희,1985,OB,,2,0,0,0,5,0.175
403,김용희,1985,롯데,3B,100,18,2,14,37,0.34600000000000003
404,유두열,1985,롯데,DH,102,23,4,13,45,0.384
405,홍문종,1985,롯데,CF,102,23,2,11,42,0.32799999999999996
406,정영기,1985,롯데,SS,85,11,1,1,17,0.348
407,한문연,1985,롯데,C,72,12,0,3,23,0.32299999999999995
408,김석일,1985,롯데,C,28,6,1,3,19,0.374
409,박용성,1985,롯데,LF,39,5,2,8,18,0.33
410,김용운,1985,롯데,C,30,8,0,2,4,0.327
411,박영태,1985,롯데,RF,74,12,3,2,21,0.32899999999999996
412,김용철,1985,롯데,2B,82,16,1,7,36,0.29
413,조성옥,1985,롯데,LF,55,11,1,2,25,0.327
414,김민호,1985,롯데,1B,33,6,1,1,4,0.307
415,박희찬,1985,롯데,C,0,0,0,0,2,0.33299999999999996
416,김한조,1985,롯데,,22,3,0,3,8,0.261
417,정인교,1985,롯데,C,1,1,0,0,0,0.154
418,김진근,1985,롯데,RF,2,1,0,0,0,0.16699999999999998
419,한영준,1985,롯데,RF,72,9,1,5,42,0.327
420,이동완,1985,롯데,,2,0,0,0,2,0.14800000000000002
421,김성호,1985,롯데,,19,3,0,2,7,0.248
422,이만수,1985,삼성,C,115,19,2,22,42,0.405
423,장효조,1985,삼성,LF,129,24,1,11,57,0.46
424,김성래,1985,삼성,2B,85,16,0,13,41,0.39
425,허규옥,1985,삼성,RF,101,14,7,3,25,0.387
426,이해창,1985,삼성,CF,95,12,3,7,49,0.364
427,장태수,1985,삼성,CF,73,13,0,1,30,0.3670000000000001
428,김용국,1985,삼성,3B,73,14,1,7,34,0.317
429,정진호,1985,삼성,2B,41,7,2,3,19,0.337
430,박승호,1985,삼성,DH,38,7,0,8,9,0.34700000000000003
431,배대웅,1985,삼성,SS,44,8,1,3,8,0.312
432,정현발,1985,삼성,CF,32,7,0,3,13,0.34299999999999997
433,이종두,1985,삼성,RF,43,8,3,6,15,0.295
434,송일수,1985,삼성,C,27,7,0,2,14,0.28600000000000003
435,김한근,1985,삼성,3B,4,2,0,0,3,0.47100000000000003
436,함학수,1985,삼성,1B,53,11,1,4,20,0.306
437,김동재,1985,삼성,2B,5,2,0,0,7,0.33299999999999996
438,오대석,1985,삼성,SS,13,2,0,1,7,0.278
439,손상대,1985,삼성,C,0,0,0,0,0,0.0
440,홍순호,1985,삼성,1B,1,0,1,0,0,0.16699999999999998
441,김근석,1985,삼성,3B,16,5,0,2,7,0.25
442,박찬,1985,삼성,,0,0,0,0,0,0.0
443,김성갑,1985,삼성,3B,0,0,0,0,1,0.14300000000000002
444,황병일,1985,삼성,,1,0,0,0,0,0.1
445,김이수,1985,삼성,,1,1,0,0,0,0.111
446,홍승규,1985,삼성,RF,15,2,0,1,7,0.237
447,김성한,1985,해태,1B,133,29,1,22,42,0.395
448,이순철,1985,해태,3B,112,18,5,12,33,0.365
449,송일섭,1985,해태,LF,104,15,0,15,43,0.39299999999999996
450,김일권,1985,해태,CF,88,11,4,4,33,0.349
451,김준환,1985,해태,RF,101,20,0,5,27,0.355
452,김봉연,1985,해태,DH,80,9,1,17,43,0.34700000000000003
